date,silica_concentrate
2017-06-20 22:00:00,2.810000000000002
2017-06-01 00:00:00,1.7299999999999995
2017-06-08 02:00:00,1.0600000000000018
2017-07-30 04:00:00,1.520000000000003
2017-05-01 06:00:00,1.77
2017-06-22 23:00:00,1.6800000000000053
2017-06-08 06:00:00,1.0600000000000018
2017-05-22 18:00:00,1.409999999999997
2017-05-22 09:00:00,3.860000000000011
2017-04-28 06:00:00,4.629999999999996
2017-06-12 13:00:00,1.810000000000002
2017-07-11 15:00:00,1.0
2017-05-16 07:00:00,1.1399999999999952
2017-07-12 19:00:00,1.0600000000000018
2017-04-28 18:00:00,3.0799999999999987
2017-07-12 09:00:00,1.289999999999998
2017-05-12 21:00:00,2.019999999999998
2017-06-12 08:00:00,1.8199999999999947
2017-05-28 03:00:00,2.1100000000000088
2017-05-28 13:00:00,1.0999999999999963
2017-06-03 18:00:00,1.1299999999999972
2017-07-07 15:00:00,1.2400000000000029
2017-05-19 17:00:00,1.8199999999999947
2017-05-21 08:00:00,4.823474341191666
2017-07-02 17:00:00,1.1100000000000043
2017-05-10 00:00:00,2.220000000000009
2017-06-29 23:00:00,1.7099999999999989
2017-08-18 16:00:00,4.860000000000011
2017-07-21 03:00:00,1.5099999999999962
2017-07-27 01:00:00,2.089999999999994
2017-07-21 06:00:00,1.2700000000000038
2017-06-15 04:00:00,2.1399999999999912
2017-06-09 14:00:00,2.0500000000000065
2017-06-13 18:00:00,2.0
2017-07-11 04:00:00,1.0200000000000022
2017-05-12 19:00:00,2.540000000000008
2017-07-10 12:00:00,1.2400000000000029
2017-05-29 03:00:00,1.4799999999999964
2017-07-09 18:00:00,1.0699999999999956
2017-06-20 00:00:00,1.92
2017-06-22 05:00:00,1.5999999999999988
2017-05-03 21:00:00,1.4900000000000038
2017-06-14 17:00:00,1.3600000000000063
2017-06-09 11:00:00,2.160000000000007
2017-04-28 20:00:00,1.810000000000002
2017-06-30 12:00:00,2.6700000000000044
2017-07-27 06:00:00,2.189999999999998
2017-05-19 23:00:00,1.0399999999999994
2017-04-26 20:00:00,2.120000000000004
2017-07-04 02:00:00,1.4799999999999964
2017-05-07 02:00:00,1.8999999999999968
2017-05-01 01:00:00,2.060000000000002
2017-07-10 10:00:00,1.3100000000000018
2017-07-11 22:00:00,1.2299999999999964
2017-06-06 14:00:00,1.6299999999999968
2017-05-03 18:00:00,2.540000000000008
2017-06-25 06:00:00,1.219999999999999
2017-05-26 06:00:00,1.560000000000002
2017-07-07 04:00:00,1.7799999999999951
2017-04-24 19:00:00,1.2700000000000038
2017-05-18 10:00:00,4.600000000000001
2017-07-15 22:00:00,1.460000000000002
2017-05-09 20:00:00,2.5199999999999947
2017-07-08 12:00:00,1.1800000000000046
2017-05-18 17:00:00,3.139999999999989
2017-07-04 01:00:00,1.59
2017-05-28 06:00:00,1.0999999999999963
2017-04-25 21:00:00,3.5800000000000045
2017-07-03 16:00:00,2.199999999999993
2017-06-06 10:00:00,2.2900000000000063
2017-05-06 17:00:00,3.040000000000006
2017-07-01 14:00:00,2.399999999999993
2017-05-12 18:00:00,1.5999999999999988
2017-05-24 23:00:00,4.210000000000005
2017-06-15 20:00:00,2.2799999999999905
2017-06-11 06:00:00,2.7699999999999934
2017-06-20 12:00:00,2.009999999999995
2017-05-13 13:00:00,3.3700693962500003
2017-05-02 13:00:00,1.8700000000000032
2017-05-15 00:00:00,4.29999999999999
2017-04-28 17:00:00,3.1442041949411115
2017-04-26 14:00:00,1.0999999999999963
2017-05-20 10:00:00,2.2799999999999905
2017-05-02 22:00:00,2.25
2017-07-17 00:00:00,1.1500000000000037
2017-06-29 06:00:00,1.7400000000000044
2017-06-20 09:00:00,2.3899999999999904
2017-07-10 07:00:00,3.0199999999999925
2017-05-21 20:00:00,1.3799999999999968
2017-05-03 23:00:00,1.5099999999999962
2017-07-15 14:00:00,1.8199999999999947
2017-05-29 17:00:00,1.0
2017-06-11 10:00:00,1.4799999999999964
2017-05-23 00:00:00,1.030000000000001
2017-05-13 18:00:00,3.5699306037500005
2017-06-28 17:00:00,2.2599999999999945
2017-07-30 14:00:00,2.9900000000000064
2017-05-30 17:00:00,1.6500000000000004
2017-06-12 15:00:00,1.8799999999999968
2017-06-07 03:00:00,3.7999999999999945
2017-05-26 22:00:00,1.2299999999999964
2017-06-10 07:00:00,2.0500000000000065
2017-05-08 00:00:00,4.340000000000004
2017-07-01 18:00:00,3.170000000000001
2017-07-02 12:00:00,2.0699999999999945
2017-05-12 02:00:00,1.689999999999998
2017-05-19 00:00:00,4.895676426046666
2017-07-27 05:00:00,2.089999999999994
2017-06-22 19:00:00,1.0500000000000025
2017-05-11 14:00:00,2.8999999999999906
2017-05-18 19:00:00,3.459999999999999
2017-05-15 19:00:00,2.0799999999999987
2017-05-25 05:00:00,0.969999999999999
2017-06-05 20:00:00,2.7200000000000126
2017-05-04 01:00:00,3.519999999999991
2017-06-26 23:00:00,2.6299999999999963
2017-05-27 20:00:00,1.2599999999999971
2017-06-05 10:00:00,4.149999999999987
2017-06-14 14:00:00,1.4699999999999998
2017-06-19 07:00:00,2.7599999999999936
2017-07-21 15:00:00,2.1100000000000088
2017-05-11 02:00:00,3.75
2017-06-03 06:00:00,1.889999999999992
2017-05-20 03:00:00,1.4300000000000048
2017-06-24 18:00:00,1.0200000000000022
2017-06-15 00:00:00,1.529999999999999
2017-05-16 04:00:00,0.9900000000000008
2017-06-18 07:00:00,2.300000000000008
2017-04-29 15:00:00,2.2799999999999905
2017-05-01 14:00:00,3.4199999999999977
